Wall time,Step,Value
1515425697.045197,0,0.19815555214881897
1515425745.5738955,1,0.22651110589504242
1515425793.8739393,2,0.15097777545452118
1515425842.2091339,3,0.099711112678051
1515425890.5846372,4,0.09893333166837692
1515425938.9215884,5,0.0986444428563118
1515425987.2328198,6,0.0985555574297905
1515426035.410465,7,0.09973333030939102
1515426083.2090125,8,0.0986444428563118
1515426131.0115104,9,0.09842222183942795
1515426178.8002522,10,0.09939999878406525
1515426226.5940201,11,0.09860000014305115
1515426274.418213,12,0.0983777791261673
1515426322.2742202,13,0.09886666387319565
1515426370.1124299,14,0.09888888895511627
1515426417.8673463,15,0.09877777844667435
1515426465.6115198,16,0.09844444692134857
1515426513.3584316,17,0.09782221913337708
1515426561.1062698,18,0.09726666659116745
1515426608.7827518,19,0.09808889031410217
