Wall time,Step,Value
1515427505.7728286,0,0.3852444291114807
1515427549.0262134,1,0.5893999934196472
1515427591.9100082,2,0.6795777678489685
1515427634.841257,3,0.7309333086013794
1515427677.81751,4,0.7719555497169495
1515427720.7164237,5,0.8019777536392212
1515427763.4853334,6,0.8253777623176575
1515427805.911393,7,0.8432000279426575
1515427848.3396494,8,0.8630889058113098
1515427890.7639036,9,0.8843777775764465
1515427933.160827,10,0.8963778018951416
1515427975.5957465,11,0.9085111021995544
1515428017.9793944,12,0.9214444756507874
1515428060.344414,13,0.9352444410324097
1515428102.7103434,14,0.9416666626930237
1515428145.0717287,15,0.947422206401825
1515428187.4435265,16,0.9514889121055603
1515428229.7689397,17,0.9540444612503052
1515428272.1066346,18,0.9601555466651917
1515428314.4602127,19,0.9626889228820801
