Wall time,Step,Value
1515421849.7781026,0,0.30257776379585266
1515422025.7296433,1,0.45195555686950684
1515422201.0188036,2,0.5133777856826782
1515422376.1479678,3,0.5556666851043701
1515422551.30704,4,0.5946444272994995
1515422726.322774,5,0.5862666368484497
1515422900.5552971,6,0.09942222386598587
1515423074.930172,7,0.09844444692134857
1515423249.8398674,8,0.0993555560708046
1515423424.0785956,9,0.0984666645526886
1515423598.3627417,10,0.0983777791261673
1515423772.610419,11,0.09860000014305115
1515423946.8728588,12,0.09862222522497177
1515424121.1804495,13,0.09875555336475372
1515424295.4431922,14,0.09817777574062347
1515424469.7374005,15,0.09646666795015335
1515424644.018073,16,0.0983777791261673
1515424818.2407572,17,0.09666666388511658
1515424992.5258062,18,0.09735555201768875
1515425166.7556496,19,0.09626666456460953
