Wall time,Step,Value
1515429106.100884,0,0.29002222418785095
1515429266.813935,1,0.44555556774139404
1515429426.9870355,2,0.5289777517318726
1515429587.261973,3,0.5840888619422913
1515429747.58659,4,0.6330000162124634
1515429907.7615128,5,0.6643333435058594
1515430067.9105446,6,0.6920222043991089
1515430228.121613,7,0.713355541229248
1515430388.1890166,8,0.728422224521637
1515430548.3339086,9,0.7388222217559814
1515430708.302208,10,0.7505333423614502
1515430868.261724,11,0.7619333267211914
1515431028.2315946,12,0.766955554485321
1515431188.2359765,13,0.7745110988616943
1515431348.2213063,14,0.7802444696426392
1515431508.204331,15,0.7863110899925232
1515431668.1381981,16,0.7928222417831421
1515431828.14841,17,0.7939777970314026
1515431988.0727913,18,0.7997555732727051
1515432148.087066,19,0.8033111095428467
